"Jaar","Nederland","Groningen","Friesland","Drenthe","Overijssel","Flevoland","Gelderland","Utrecht","Noord.Holland","Zuid.Holland","Zeeland","Noord.Brabant","Limburg"
"2015",7.88,9.53,8.35,8.03,7.65,8.6,7.38,7.3,7.55,8.78,6.58,7.5,7.6
"2016",7,8.38,7.3,7,7.2,8.25,6.62,6.2,6.7,7.97,5.47,6.47,6.58
"2017",5.85,7.23,6.18,5.97,5.88,6.58,5.47,5.25,5.85,6.53,4.8,5.4,5.7
"2018",4.88,6.3,5.15,4.92,4.75,5.22,4.6,4.47,5,5.27,4.12,4.47,4.7
"2019",4.42,5.62,4.42,4.03,4.2,4.62,4.08,4,4.45,5,3.9,4.18,4.3
"2020",4.85,5.6,4.82,4.7,4.55,5.03,4.47,4.45,5.15,5.25,4.15,4.5,4.88
"2021",4.2,4.95,4.15,3.6,3.7,4.78,3.8,3.88,4.82,4.88,3.6,3.52,3.83
"2022",3.52,4,3.48,3.17,3.2,3.7,3.3,3.33,3.78,3.9,2.92,3.25,3.55
"2023",3.52,3.98,3.58,3.15,3.28,3.7,3.2,3.42,3.9,3.88,2.85,3.25,3.45
"2024",3.67,4.22,3.62,3.38,3.4,3.88,3.35,3.58,4.03,4,2.92,3.22,3.6
"2025",4,4.7,3.8,4.2,3.6,4,3.3,3.5,4.4,4.7,3.3,3.6,3.4
